,winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_KD,delta_sig_str_pct,delta_total_str_pct,delta_TD_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs
3818,MICHELLE WATERSON-GOMEZ,PAIGE VANZANT,17/12/2016,Submission,1.0,3:21,5 Rnd (5-5-5-5-5),Women's Strawweight Bout,UFC on FOX: VanZant vs. Waterson,"Sacramento, California, USA",,Orthodox,blue,0.0,29.0,15.97,100.0,2.0,0.0,107.0,50.0,8.33,8.33,30.31,0.0,0.0,30.0,-15.0,-15.0,3.0,-4.0,0.0,,,,,,,,,,
3827,LESLIE SMITH,IRENE ALDANA,17/12/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC on FOX: VanZant vs. Waterson,"Sacramento, California, USA",Orthodox,Orthodox,red,1.0,0.0,0.38,-100.0,0.0,0.0,11.0,0.28,-24.68,4.17,1.38,-16.42,6.67,-3.0,6.0,-2.0,1.0,-5.0,3.0,0.0,-5.08,2.04,2.0,2.44,-10.0,-0.23,-50.0,-22.0,-0.1
3838,VIVIANE PEREIRA,VALERIE LETOURNEAU,10/12/2016,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",Orthodox,Orthodox,blue,0.0,-5.0,-5.0,0.0,0.0,0.0,118.0,-6.82,-33.93,20.83,-1.38,8.34,-31.82,-15.0,-7.0,24.0,15.0,2.0,-15.0,-15.24,-12.7,-1.81,-7.0,-0.92,0.0,-0.52,55.0,-38.0,-0.1
3847,JUSTINE KISH,ASHLEY YODER,09/12/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",Orthodox,Southpaw,red,0.0,10.0,1.07,50.0,1.0,-1.0,205.0,-5.42,17.58,25.0,7.77,36.92,-12.5,-37.0,10.0,27.0,-1.0,10.0,-10.0,-5.08,-12.7,1.9,9.0,1.09,13.0,-0.32,-2.0,-13.0,-0.5
3854,JULIANA LIMA,JJ ALDRICH,09/12/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",Orthodox,Southpaw,red,0.0,7.0,-13.04,66.0,0.0,0.0,378.0,5.13,5.14,70.0,11.9,9.71,8.89,-2.0,-23.0,25.0,17.0,-19.0,2.0,0.0,-5.08,-1.82,3.0,-2.44,-6.0,0.92,-9.0,13.0,0.0
3859,SARA MCMANN,ALEXIS DAVIS,03/12/2016,Submission,2.0,2:52,3 Rnd (5-5-5),Women's Bantamweight Bout,The Ultimate Fighter: Tournament of Champions Finale,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-34.0,-30.14,100.0,0.0,0.0,-370.0,-33.62,-33.33,0.0,-30.3,0.0,-14.29,-2.0,10.0,-7.0,5.0,0.0,-5.0,0.0,-5.08,-1.86,-2.0,-2.24,-7.0,3.47,25.0,16.0,-0.3
3864,JAMIE MOYLE,KAILIN CURRAN,03/12/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,The Ultimate Fighter: Tournament of Champions Finale,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,25.0,15.14,30.0,-1.0,0.0,-353.0,20.65,3.64,0.0,26.83,7.58,-8.33,-13.0,3.0,11.0,-2.0,-1.0,4.0,-7.62,0.0,0.62,8.0,-0.75,12.0,-1.0,-36.0,-11.0,-0.6
3872,DANIELLE TAYLOR,SEO HEE HAM,26/11/2016,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Whittaker vs. Brunson,"Melbourne, Victoria, Australia",Orthodox,Southpaw,blue,0.0,-3.0,-2.99,0.0,0.0,0.0,-8.0,-1.14,-4.17,-25.0,-2.32,0.0,0.0,5.0,-8.0,3.0,0.0,0.0,0.0,-5.08,-5.08,-1.45,-10.0,-1.84,10.0,0.2,20.0,4.0,0.0
3882,CLAUDIA GADELHA,CORTNEY CASEY,19/11/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Bader vs. Nogueira,"Sao Paulo, Sao Paulo, Brazil",Orthodox,Orthodox,red,0.0,10.0,-1.68,100.0,1.0,0.0,366.0,19.59,0.0,40.0,13.13,-2.59,60.0,43.0,-22.0,-22.0,10.0,-19.0,8.0,-7.62,-10.16,-1.02,3.0,0.38,5.0,2.75,15.0,20.0,0.1
3898,AMANDA COOPER,ANNA ELMOSE,19/11/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Mousasi vs. Hall 2,"Belfast, Northern Ireland, United Kingdom",Switch,Orthodox,blue,-1.0,-8.0,-4.16,66.0,1.0,0.0,49.0,-1.89,-11.25,21.43,-6.86,25.0,-6.35,25.0,-10.0,-15.0,8.0,0.0,-8.0,0.0,,-0.13,-5.0,-1.44,-5.0,1.53,38.0,-5.0,1.8
3901,MARION RENEAU,MILANA DUDIEVA,19/11/2016,KO/TKO,3.0,3:03,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Mousasi vs. Hall 2,"Belfast, Northern Ireland, United Kingdom",Orthodox,Orthodox,red,0.0,-1.0,-10.59,50.0,1.0,0.0,112.0,7.36,27.14,0.0,-14.78,9.46,33.82,32.0,-3.0,-29.0,-37.0,22.0,15.0,7.62,,2.42,10.0,-0.06,3.0,-1.68,18.0,50.0,0.8
3905,JOANNA JEDRZEJCZYK,KAROLINA KOWALKIEWICZ,12/11/2016,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Strawweight Title Bout,UFC 205: Alvarez vs McGregor,"New York City, New York, USA",Orthodox,Orthodox,red,0.0,25.0,21.87,100.0,0.0,0.0,-5.0,13.83,4.32,42.73,24.54,11.16,0.0,-36.0,3.0,31.0,1.0,-2.0,0.0,7.62,2.54,1.03,9.0,-2.57,8.0,0.18,50.0,6.0,0.0
3907,RAQUEL PENNINGTON,MIESHA TATE,12/11/2016,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 205: Alvarez vs McGregor,"New York City, New York, USA",Orthodox,Orthodox,blue,0.0,23.0,19.54,80.0,3.0,0.0,140.0,24.16,60.71,33.33,17.9,31.11,68.75,34.0,-34.0,0.0,-8.0,-17.0,25.0,2.54,2.54,1.69,7.0,0.49,13.0,-0.94,-3.0,13.0,-0.9
