Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age
701,Alex Perez,5' 6,125.0,5' 6,4.62,0.47,3.08,0.61,2.92,0.45,0.87,1.3,0,1,0,0,34.0
702,Anthony Perosh,6' 3,205.0,6' 3,2.27,0.43,3.77,0.53,2.03,0.22,0.33,1.1,0,1,0,0,53.0
703,Mike Perry,5' 10,170.0,5' 10,4.35,0.47,4.82,0.54,0.69,0.38,0.77,0.2,0,1,0,0,34.0
704,Steven Peterson,5' 10,145.0,5' 10,4.65,0.35,5.89,0.56,2.02,0.28,0.75,0.4,0,1,0,0,35.0
705,Seth Petruzelli,6' 0,205.0,6' 0,2.17,0.41,2.08,0.55,0.46,0.5,0.47,2.3,0,1,0,0,46.0
706,Anthony Pettis,5' 10,155.0,5' 10,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1,0,1,0,0,39.0
707,Sergio Pettis,5' 6,125.0,5' 6,3.88,0.37,2.91,0.65,0.85,0.4,0.67,0.4,0,1,0,0,32.0
708,Nam Phan,5' 6,135.0,5' 6,4.52,0.37,6.55,0.59,0.18,0.18,0.6,0.2,0,1,0,0,43.0
709,Constantinos Philippou,5' 11,185.0,5' 11,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,0,1,0,0,46.0
710,Elizabeth Phillips,5' 6,135.0,5' 6,2.6,0.33,3.07,0.58,0.75,0.25,0.53,0.2,0,1,0,0,39.0
711,Kyler Phillips,5' 8,135.0,5' 8,5.32,0.46,3.04,0.61,2.88,0.63,0.71,0.4,0,1,0,0,30.0
712,Vinc Pichel,5' 10,155.0,5' 10,3.2,0.46,2.28,0.56,3.83,0.6,0.2,0.3,0,1,0,0,43.0
713,Jamie Pickett,6' 2,185.0,6' 2,2.84,0.55,4.84,0.46,1.48,0.4,0.37,0.4,0,1,0,0,37.0
714,Oskar Piechota,6' 0,185.0,6' 0,3.3,0.52,3.93,0.51,0.61,0.4,0.38,1.5,0,0,1,0,36.0
715,Mike Pierce,5' 8,170.0,5' 8,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,0,1,0,0,45.0
