,Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age,Female
299,299,Pablo Garza,73,145.0,73,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3,0,1,0,0,42.0,0
300,300,Kelvin Gastelum,69,185.0,69,3.64,0.43,2.92,0.59,1.22,0.39,0.64,0.1,0,0,1,0,34.0,0
301,301,Louis Gaudinot,63,125.0,63,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,0,1,0,0,41.0,0
302,302,Chad George,66,135.0,66,1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3,0,0,1,0,43.0,0
303,303,Christos Giagos,70,155.0,70,2.88,0.41,2.59,0.51,3.11,0.39,0.5,0.3,0,1,0,0,36.0,0
304,304,Cody Gibson,70,135.0,70,2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4,0,1,0,0,38.0,0
305,305,Trevin Giles,72,185.0,72,3.26,0.56,1.88,0.62,1.37,0.8,0.79,0.3,0,1,0,0,33.0,0
306,306,Gregor Gillespie,67,155.0,67,3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9,0,1,0,0,39.0,0
307,307,Rick Glenn,72,145.0,72,4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3,0,0,1,0,36.0,0
308,308,Marcelo Golm,75,249.0,75,4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5,0,1,0,0,33.0,0
309,309,Frank Gomez,70,135.0,70,1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8,0,1,0,0,40.0,0
310,310,Akihiro Gono,67,170.0,67,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,0,0,0,1,51.0,0
311,311,Takanori Gomi,67,155.0,67,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,0,0,1,0,47.0,0
